,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founders,Investor
2042,Safex Chemicals,AgriTech,undisclosed,50000000,Delhi,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,1970,SK Jindal SK Chaudhary,BanyanTree Finance Pvt. Ltd.
2044,Rupifi,FinTech,Pre Series A,4100000,Bangalore,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,1970,Anubhav Jain,Quona Capital
2045,Moneyboxx,FinTech,Debt,3000000,Mumbai,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,1970,Deepak Aggarwal,Ashv Finance BlackSoil Capital
2046,CityMall,E-commerce,Series A,11000000,Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,1970,Angad Kikla Divij Goyal,WaterBridge Ventures SAIF Partners
2047,Janani,Heathcare,Seed,1000000,Bangalore,Janani.ai is a fertility care provider.,1970,Nilay Mehrotra,Sweta Rau 9Unicorns Accelerator Fund
2048,ReshaMandi,AgriTech,Seed,1700000,Bangalore,India's 1st award winning technology led digital ecosystem for Silk,1970,Utkarsh Apoorva,Omnivore Strive Ventures
2049,Bombay Shaving Company,Lifestyle,undisclosed,2000000,Delhi,Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care beard care and skincare products.,1970,Deepu Panicker Raunak Munot Rohit Jaiswal Shantanu Deshpande,Rajesh Sud KULDEEP JAIN
2050,DotPe,FinTech,Series A,27000000,Gurugram,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,1970,Anurag Gupta Gyanesh Sharma Shailaz Nag,PayU Google
2053,Five Star Finance,FinTech,undisclosed,234000000,Chennai,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,1970,V K Ranganathan,TPG Capital Asia Epiq Capital
2055,BYJU'S,EdTech,Series F,460000000,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,1970,Byju Raveendran Divya Gokulnath,BlackRock Owl Ventures
2056,Annapurna Finance,FinTech,undisclosed,30000000,Bhubaneswar,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,1970,Gobinda Chandra Pattnaik,Asian Development Bank Oman India Joint Investment Fund
2057,HealthPlix,HealthCare,Series B,13500000,Bangalore,HealthPlix is a healthtech startup,1970,Raghuraj Sunder Raju Sandeep Gudibanda,JSW Ventures Kalaari Capital
2058,Masai School,EdTech,Series A,5000000,Bangalore,Masai School is a job-oriented software training services.,1970,Prateek Shukla,Unitus Ventures Omidyar Network India
2059,Bewakoof,D2C Fashion,undisclosed,4000000,Mumbai,Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often it’s anything different or anything that’s done differently.,1970,Prabhkiran Singh,IvyCap Ventures Pratithi Investment Trust
2060,IndiaLends,FinTech,undisclosed,5100000,Delhi,IndiaLends is a digital lending and borrowing marketplace.,1970,Gaurav Chopra Mayank Kachhwaha,ACPI Investments AdvantEdge Founders
2061,Stelis Biopharma,BioTechnology,Series B,195000000,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company.,1970,Pudhucode Radhakrishnan Kannan,RouteOne Mankekar Family Office
2062,Tilt,Bike Rental,undisclosed,125000,Bangalore,A bike-share for Indian campuses,1970,Deepak VS,Y Combinator
2063,NeoDove,AI startup,Seed,15000000,Jaipur,Neodove is an AI-powered end to end tech-enabled customer communication and reporting solution.,1970,Aprit Khandelwal,India Quotient
2064,Zaara Biotech,BioTechnology,undisclosed,10000000,Kottayam,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,1970,Najeeb Bin Haneef,TCN International Commerce
2065,KreditBee,FinTech,Seed,75000000,Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,1970,Karthikeyan Krishnaswamy Madhusudan Ekambaram Wan Hong,Alpine Capital PremjiInvest
2066,True Balance,FinTech,Debt,10000000,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,1970,Cheolwon Lee Jay Yi Martin Lee,Bon Angels Venture Partners Daesung Private Equity
2067,Muvin,FinTech,Seed,1000000,Bangalore,Youth Neobank enabling financial solutions for the teenagers and young people,1970,Mukund V Rao,
2068,Purplle,Beauty products,undisclosed,45000000,Mumbai,Purplle is an online store selling cosmetics fragrances skin and hair care products.,1970,Manish Taneja Rahul Dash,Spring Marketing Capital Verlinvest
2069,FloBiz,Tech Startup,Series A,10000000,Bangalore,India’s first neobusiness platform,1970,Rahul Raj,Elevation Capital
2070,Jeevam Health,Health care,Pre-seed,1500000,Delhi,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,1970,Kamran alam Piyush vishwakarma,Y Combinator
2071,NewLink Group,Tech Startup,undisclosed,200000000,Beijing,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,1970,Yang Wang Zhen Dai,Bain Capital
2072,OZiva,Heathcare,Series B,12000000,Mumbai,OZiva is a plant-based Clean Nutrition Brand.,1970,Aarti Mihir Gadani,F-Prime Capital Eight Roads Ventures India
2073,Blive,Tourism,Pre Series A,1000000,Panaji,B: Live is an electric vehicle tourism startup.,1970,Samarth Kholkar Sandeep Mukherjee,Mumbai Angels DNA Entertainment Networks
2074,Nazara Technologies,Gaming,undisclosed,30000000,Mumbai,Nazara Technologies develops mobile content such as games themes wallpapers and multimedia.,1970,Nitish Mittersain,Hornbill Capital Advisers Plutus Wealth Management
2075,Euler Motors,Automotive,Series A,2600000,Delhi,Electric Light Commercial Vehicle,1970,Saurav Kumar,ADB Ventures Jetty Ventures
2076,Pixxel,SpaceTech,Seed,7300000,Bangalore,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,1970,Awais Ahmed Kshitij Khandelwal,Techstars Ryan Johnson
2077,Prescinto,Solar,Seed,3500000,Gujarat,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,1970,Puneet Jaggi,Venture Catalysts 9Unicorns Accelerator Fund
2078,MyGlamm,Beauty products,Series C,20000000,Mumbai,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,1970,Darpan Sanghvi,Bessemer Venture Partners
2079,Chirrup,Gaming,Pre-seed,300000,Bangalore,Video integrated social-gaming platform,1970,Vipul Garg Sourav Lashkari Mehul Mittal,Titan Capital iSeed First Cheque 3.0 Fund.
2080,Policybazaar,Insurance,undisclosed,75000000,Gurugram,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,1970,Alok Bansal Avaneesh Nirjar Manoj Sharma Tarun Mathur Yashish Dahiya,Falcon Edge Capital White Oak Global Advisors
2081,Livve Homes,Rental space,undisclosed,5000000,Bangalore,India's homegrown online portal championing the region for a brighter more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between,1970,Maya Lakshman,Angel investors
2082,Juicy Chemistry,HealthCare,Series A,6300000,Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,1970,Megha Pritesh Asher.,Akya Ventures
2083,Svasti Microfinance,FinTech,undisclosed,4000000,Mumbai,Svasti works with urban slum dwellers women microentrepreneurs.,1970,Arunkumar Padmanabhan Narayanan Subramaniam,Kayenne Ventures Nordic Microfinance Initiative
2084,Nexprt,Consulting,undisclosed,2000000,Delhi,Nexprt Solutions offers end-to-end and 100% customized import solutions.,1970,Harsha Vardhan K,Titan Capital
2086,Ankur capital,FinTech,undisclosed,40000000,Mumbai,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,1970,Ritu Verma,
2087,Indifi,FinTech,Debt,5000000,Gurugram,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,1970,Alok Mittal Siddharth Mahanot Sundeep Sahi,Elevar Equity Accel India
2089,Say Cheese,FemTech,Seed,1000000,Mumbai,Say Cheese is the first holistic women-happiness platform in India focused to increase the happiness of women through personalized solutions,1970,Rajpreet Kaur,
2090,Indic Inspirations,Cultural,undisclosed,300000,Pune,Indian Souvenirs online that reflect Indian tradition culture & stories. Best for personal gifting and corporate gifting.,1970,Sunil Jalihal,Marquee investors
2091,Bimaplan,FinTech,Seed,500000,Mumbai,Affordable insurance for the next billion Indians,1970,Vikul Goyal,Titan Capital Y Combinator
2092,YAP,FinTech,Series B,10000000,Chennai,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,1970,Madhusudanan R Prabhu R,Jitendra Gupta Better Capital
2093,Leap Finance,FinTech,Series B,17000000,Bangalore,Leap Finance is a fintech startup for Indian students pursuing international higher education,1970,Vaibhav Singh,Jungle Ventures
2094,BlackSoil NBFC,FinTech,undisclosed,3000000,Mumbai,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,1970,Mohinder Pal Bansal,
2095,OYO,Hospitality,undisclosed,200000000,Gurugram,OYO operates a branded network of hotels designed to offer standardized stay experiences.,1970,Ritesh Agarwal,Hindustan Media Venture
2096,Max Healthcare,HealthCare,undisclosed,140000000,Delhi,Max Healthcare is one of the leading chain of hospitals in India.,1970,Analjit Singh,Radiant Life Care Private Ltd Life Healthcare
2097,4baseCare,HealthTech,Pre Series A,2000000,Bangalore,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,1970,Hitesh Goswami Kshitij Rishi,Mount Judi Ventures growX Ventures Season Two Ventures
2098,Ezstays,EdTech,Seed,400000,Delhi,Ezstays is a leading student-life network providing hostels and PG accommodation with top-tier living facilities at the best prices.,1970,Vaibhav Khanna Abhishek Kumar Kumar Gaurav,Richard Rekhy
2099,Stylework,Co-working,Pre Series A,500000,Gurugram,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,1970,Sparsh Khandelwal,Inflection Point Ventures
2100,Kinara Capital,FinTech,undisclosed,6000000,Bangalore,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,1970,Hardika Shah,GAWA Capital Gaja Capital
2101,Riskcovry,InsureTech,Series A,5000000,Bangalore,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.",1970,Suvendu Prusty Sorabh Bhandari Vidya Sridharan Chiranth Patil,Better Capital Bharat Inclusion Seed Fund
2102,NODWIN,Gaming,undisclosed,20000000,Gurugram,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,1970,Gautam Virk,Krafton
2103,Quizizz,EdTech,Series A,12500000,Bangalore,Quizizz is a Education based startup,1970,Ankit Gupta Deepak Joy Cheenath,Eight Roads Ventures India Nexus Venture Partners
2104,Ecom Express,E-commerce,undisclosed,20000000,Delhi,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,1970,K. Satyanarayana Manju Dhawan Sanjeev Saxena T. A. Krishnan,CDC Group Partners Group
2105,Turtlemint,InsureTech,Series D,45000000,Mumbai,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,1970,Anand Prabhudesai Dhirendra Mahyavanshi Kunal Shah,Jungle Ventures
2106,Captain Fresh,Supply chain platform,Seed,3000000,Bangalore,Captain Fresh is a freshwater fish and seafood supply chain platform.,1970,Utham Gowda,Matrix Partners India Ankur Capital
2107,Northern Arc,FinTech,Debt,10000000,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,1970,Kshama Fernandes,U.S. International Development Finance Corp Asian Development Bank
2108,Qoohoo,Social platform,Seed,800000,Bangalore,A platform for creators to build immersive connections with their fans and followers and monetize them.,1970,Vimal Singh Rathore Aseem Gupta,Angel investors
2109,IGL,Gaming,undisclosed,500000,Mumbai,Indian Gaming League is the premier eSports platform in India.,1970,Yash Pariani,Hungama Hindustan Talkies
2110,AMPM,E-commerce,undisclosed,200000,Gurugram,24*7 convenience store,1970,Shubham Gupta,Agility Venture Partners
2111,The ePlane,Drone,Seed,1000000,Chennai,Transforming the mobility landscape using aerial transport. Currently we build drones for industrial applications,1970,Pranjal Mehta Satyanarayanan Chakravarthy,Speciale Invest Farid Ahsan
2112,Cashify,E-commerce,undisclosed,15000000,Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,1970,Amit Sethi Mandeep Manocha Nakul Kumar,Bessemer Venture Partners CDH Investments
2114,Questt,EdTech,Seed,1000000,Gurugram,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,1970,Akhil Singh Mohsin Rohit Pande,Chiratae Ventures AET Fund
2115,DealShare,E-commerce,Debt,3000000,Jaipur,DealShare is a Social Commerce Startup,1970,Sankar Bora Sourjyendu Medda Vineet Rao,Omidyar Network Falcon Edge Capital
2116,Euler Motors,Automotive,Series A,4000000,Delhi,Electric Light Commercial Vehicle,1970,Saurav Kumar,Jetty Ventures Srinivas Anumolu
2117,Blume Ventures,FinTech,undisclosed,40000000,Mumbai,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,1970,Karthik Reddy Sanjay Nath,Avendus
2118,KoineArth,Blockchain startup,Pre Series A,1800000,Bangalore,Koinearth is a stealth mode startup working at the intersection of blockchains machine learning and mechanism design,1970,Praphul Chandra,YourNest
2119,ImaginXP,EdTech,undisclosed,1500000,Pune,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,1970,Vidhika Rohatgi,Venture Catalysts
2121,Apna.co,Recruitment,undisclosed,12500000,Bangalore,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,1970,Nirmit Parikh,Sequoia Capital India Rocketship.vc
2122,ideaForge,Drone,undisclosed,2000000,Mumbai,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,1970,Ankit Mehta Ashish Bhat,Infosys Qualcomm Ventures
2123,Clairco,CleanTech,undisclosed,500000,Bangalore,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,1970,Aayush Jha,Real Estate Accelerator Program (REAP) AngelList
2124,Northern Arc,FinTech,Debt,50000000,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,1970,Kshama Fernandes,Asian Development Bank U.S. International Development Finance Corp
2125,Lenskart,Fashion,undisclosed,95000000,Faridabad Haryana,Lenskart is an India-based online shopping portal for eyewear.,1970,Amit Chaudhary Peyush Bansal,Kohlberg Kravis Roberts Temasek Holdings
2127,Virohan,EdTech,Series A,3000000,Gurugram,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,1970,Archit Jayasal Kunaal Dudeja Nalin Saluja Paarul Dudeja,Rebright Partners Wadhwani Foundation
2128,BankSathi,FinTech,Seed,200000,Delhi,Bank Sathi provides loans insurance cards comparison and approval facility.,1970,Jitendra Dhaka,Dinesh Godara Aditya Talwar
2130,BlissClub,Fashion,Seed,2000000,Bangalore,BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space founded in 2020 by ISB Alum Minu Margeret,1970,Minu Margeret,Elevation Capital
2131,BricSpaces,Real estate,Pre-seed,350000,Bangalore,A prop-tech company that finds and customizes offices living or retail spaces based on your requirements.,1970,Madhusudhan,Angel investors
2132,ANSR,Consulting,Series B,15000000,Bangalore,ANSR Consulting is providing end-to-end services for companies setting up captive service centers.,1970,Lalit Ahuja,Sistema Asia Capital Evolvence India Fund
2134,Reccy Adventures,Sports startup,Seed,400000,Gurugram,Reccy Adventures is an adventure sports startup.,1970,Amit Chowdhury Siddhartha Chatterjee Tapas Pal,Kallol Banerjee Jaydeep Barman
2135,Magenta EV,Renewable Energy,Series A,15000000,Mumbai,Magenta is in the business of Enabling electric mobility & Making electricity clean,1970,Maxson Lewis Darryl Dias,JITO Angel Network LetsVenture
2136,Karbon Card,FinTech,Pre Series A,1000000,Bangalore,Karbon Card is a financial platform for Indian entrepreneurs.,1970,Amit Jangir Bo Li Jianwei Chen Kartik Jain Pei-fu Hsieh Sunil Kumar,MyAsia VC Orios Venture Partners
2137,Wysa,AI company,Series A,5000000,Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,1970,Jo Aggarwal Ramakant Vempati,W Health Ventures Pi Ventures
2138,Agnikul,SpaceTech,Series A,11000000,Chennai,Agnikul is a space tech startup that designs manufactures tests and launch orbital class rockets for micro and nano satellites.,1970,Moin SPM Satyanarayanan Chakravarthy Srinath Ravichandran,Artha India Ventures Sriram Krishnan
2140,Glamplus,SaaS startup,Pre Series A,200000,Bangalore,India's #1 SaaS based Salon experience Software,1970,Divyanshu Singh,Inflection Point Ventures
2141,Tekie,EdTech,Seed,1500000,Gurugram,Tekie is a live coding platform for kids that uses the power of storytelling to make learning to code a movie-like experience.,1970,Anand Verma Naman Mukund,GSV Multiply Ventures
2142,Asirvad Microfinance,FinTech,undisclosed,15000000,Chennai,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,1970,Raja Vaidyanathan,WorldBusiness Capital Northern Arc
2144,Betterhalf.ai,Matrimony,Pre Series A,3000000,Bangalore,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,1970,Rahul Namdev Pawan Gupta,Y Combinator Rehan A Khan
2145,Koo,Social Media,Series B,30000000,Bangalore,Koo App operates as a microblogging app.,1970,Aprameya Radhakrishna Mayank Bidawatka,Balaji Srinivasan Naval Ravikant
2147,Mentoria,EdTech,Pre Series A,200000,Mumbai,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,1970,Ashish Arora Nikhar Arora Sameer Bhakhri,Pradeep K Jaisingh Jayant Mehrotra
2148,Cuvette Tech,Human Resources,Seed,1800000,Bangalore,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,1970,Atul Singhal Sudhanshu Singh,Varun Alagh Harish Daiya
2149,Clensta,BioTechnology,undisclosed,600000,Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,1970,Puneet Gupta,IAN Fund World Startup Factory
2150,FarMart,AgriTech,Pre Series A,24000000,Gurugram,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,1970,Alekh Sanghera Mehtab Singh Hans,Omidyar Network India Avaana Capital
2151,Kodo Card,FinTech,Seed,8000000,Mumbai,Kodo card is a corporate card for new economy businesses in India.,1970,Deepti Sanghi Gaurav Thapa,Brex Y-Combinator
2153,Get My Parking,Mobility,undisclosed,6000000,Delhi,Get My Parking is a B2B Platform-as-a-Service company.,1970,Chirag Jain Rasik Pansare,IvyCap Ventures IAN Fund
2154,Cellestial,Electronics,Pre Series A,500000,Hyderabad,Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,1970,Siddhartha Durairajan,Gurj Aujla Ashik K
2155,FanCode,Sports startup,undisclosed,50000000,Mumbai,FanCode is a multi sport aggregator platform for every sports fan focusing on long trail sports content and contextual commerce.,1970,Yannick Colaco,Dream Sports
2156,Jai Kisan,FinTech,Series A,30000000,Mumbai,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,1970,Adriel Maniego Arjun Ahluwalia,The Chatterjee Group Prophetic Ventures
2157,Plum,HealthCare,Series A,15000000,Bangalore,High quality health insurance and health benefits,1970,Abhishek Poddar Saurabh Arora,Harsh Jain Lalit Keshre
2158,ThatMate,HealthCare,undisclosed,140000,Satara,ThatMate is a sexual and mental wellness app for teens.,1970,Nishant Neeraj,Supriya Kumari Premanshu Singh
2159,Klassroom,EdTech,Pre Series A,200000,Mumbai,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,1970,Alka Javeri,ah! Ventures
2160,Convin,SaaS startup,Pre-seed,300000,Bangalore,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,1970,Ashish Santhalia Atul Shree Bharat Patidar Durgesh Choudhary,9Unicorns Accelerator Fund Sunder Nookala
2161,Mensa Brands,Clothing,Series A,50000000,Bangalore,Mensa scales brands leveraging its expertise in ecommerce technology marketing category management & demand planning.,1970,Ananth Narayanan,Accel Partners Falcon Edge Capital Norwest Venture Partners
2162,Disruptium,Consulting,undisclosed,200000,Ahmadabad,A consultancy platform for startups,1970,Yash Shah Kapil Mathrani Ishit Desai,Pravesh Mehta
2163,MedTel Healthcare,HealthCare,Pre Series A,5000000,Orissia,An aggregator for Digital Health Clinics in low resource settings.,1970,Ajit Choudhury Lalit Ranjan Manik Manish Kumar Swain Shashank Singhal Siba Prasad Panda,
2164,Pickright Technologies,FinTech,undisclosed,200000,Bangalore,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,1970,Namandeep Bhatia Archana E,Gaurav Gupta Vivek Srivatsav
2166,BharatPe,FinTech,Debt,6000000,Delhi,BharatPe is the definitive platform for financial services. We process payments via UPI and POS and provide credit / loans to our merchants,1970,Ashneer Grover Bhavik Koladiya Shashvat Nakrani,Amplo Insight Partners
2167,RuleZero,Tech Startup,Seed,1000000,Bangalore,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,1970,Satish Mugulavalli Srinivas Katta,Induslaw Reddy Futures
2168,Rubix Data Sciences,IT startup,Seed,800000,Mumbai,Rubix Data Sciences focuses on simplifying decision making for Credit Risk Compliance Supply Chain and Marketing professionals in the B2B domain.,1970,Mohan Ramaswamy,
2169,Locobuzz,Analytics,Series A,4000000,Mumbai,LocoBuzz is an analytics-based integrated marketing platform.,1970,Vishal Agrawal,Yuj Ventures
2170,We Founder Circle,FinTech,Pre-seed,2000000,Mumbai,A global platform of founders for founders offering investment network and business opportunities.,1970,Neeraj Tyagi,Geekster
2171,Haqdarshak,Finance,Pre Series A,800000,Jaipur,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,1970,Aniket Doegar Asha Krishnan PR Ganapathy,Manish Subramaniam Upaya Social Ventures
2173,Enthu.ai,AI startup,undisclosed,200000,Chandigarh,Enthu.AI operates as a conversation intelligence startup.,1970,Tushar Jain Vishal Verma,Appit Simple Infotek
2174,Myelin Foundry,AI startup,Pre Series A,1000000,Bangalore,Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video voice and sensor data for consumer edge devices,1970,Gopichand Katragadda Ganesh Suryanarayanan Aditi Olemann,Beyond Next Ventures
2175,SuperOps.ai,AI startup,Seed,3000000,Chennai,SuperOps.ai is an early stage startup in the MSP space.,1970,Arvind Parthiban Jayakumar Karumbasalam,Ramakant Sharma Elevation Capital
2176,6Degree,Retail,undisclosed,1000000,Mumbai,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,1970,Amit Bhardwaj Nikhil Hegde,Keiretsu Forum SucSEED Venture Partners
2177,Teachmint,EdTech,Series A,16500000,Bangalore,Teachmint is an online learning platform that focuses on tutor-student connectivity.,1970,Anshuman Kumar Divyansh Bordia Mihir Gupta Payoj Jain,Lightspeed India Partners CM Ventures
2178,Sarathi,HealthCare,Seed,100000,Jodhpur,Offer a range of services like lab tests consultation at home nursing services emergency services and appointment management.,1970,Aditi Poyam,
2179,Jidoka Technologies,Software,Seed,340000,Chennai,Deliver automation of visual inspection retaining the power of human intelligence to enhance quality and efficiency,1970,Sekar Udayamurthy,
2180,Rapido,Transportation,Series C,43000000,Bangalore,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,1970,Aravind Sanka Pavan Guntupalli Rishikesh SR,Skycatcher Nexus Venture Partners
2181,BYJU'S,EdTech,undisclosed,150000000,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,1970,Byju Raveendran Divya Gokulnath,Tiga Investments Baron Capital
2182,ElasticRun,E-commerce,Series D,75000000,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,1970,Sandeep Deshmukh Saurabh Nigam Shitiz Bansal,Avataar Venture Partners Kalaari Capital
2183,Avail Finance,FinTech,Debt,3000000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,1970,Ankush Aggarwal Tushar Mehndiratta,Alteria Capital Matrix Partners India
2184,Nivesh,FinTech,Pre Series A,1600000,Noida,Nivesh.com is a mass market mutual funds investment platform.,1970,Anurag Garg Sridhar Srinivasan,Raghav Kapur Indian Angel Network
2185,Thingsup,IoT platform,undisclosed,1000000,Pune,Thingsup is an Enterprise Grade IoT Platform.,1970,Akshay Ghadage Pranav Naiknavare,GSF Accelerator
2186,Arthya Wealth and Investments,FinTech,Pre Series A,1000000,Mumbai,A comprehensive high quality open-architecture based Wealth Management and Investment Advisory platform to cater to investors across the board: Individuals Businesses/Corporate Treasuries Family Offices Trusts and more.,1970,Gaurav Arora,Rishi Kumar Bagla Krishen Lal Khanna
2187,Zepto,E-commerce,undisclosed,60000000,Mumbai,Grocery delivery startup,1970,Aadit Palicha Kaivalya Vohra,Glade Brook Capital Nexus Y Combinator
2188,Fi,Financial Services,Series B,50000000,Bangalore,Fi is a neo bank.,1970,Sumit Gwalani,Capital Group Falcon Edge
2189,Kiko Live,Commerce,Pre Series A,1000000,Gurugram,Video-based social commerce startup,1970,Alok Chawla Shivam,Dinesh Agarwal Amarjit Batra
2191,The Hosteller,Hospitality,Pre Series A,1000000,Mumbai,Pit-stop for global as well as local travellers to relax rejuvenate and experience India’s rich heritage while not worrying about a clean safe and smart place to stay.,1970,Pranav Dangi,SUNiCON Ventures Shubhkam Ventures Jito Angel network FAAD Network
2193,Ruptok Fintech,Financial Services,Pre Series A,2000000,Delhi,Ruptok fintech Pvt. Ltd. is an online gold loan service provider  with attractive interests rate .,1970,Ankur Gupta,Manuvel Malabar Jewellers
2194,VilCart,Retail,undisclosed,2000000,Bangalore,Vilcart's motto is sustainable rural development through stability for rural retailers.,1970,Prasanna Kumar,Nabventures
2195,Dogsee Chew,Food & Beverages,Pre Series A,7000000,Bangalore,100% Natural Dog Treats.,1970,Bhupendra Khanal Sneh Sharma,Sixth Sense Ventures
2196,Advantage Club,HR Tech,Pre Series A,3300000,Gurugram,Advantage Club is India's largest employee engagement platform.,1970,Sourabh Deorah,Y Combinator Jetty Ventures Earlsfield Capital SMC Advisors Kunal Shah
2197,TRDR,Financial Services,undisclosed,150000,Bangalore,TRDR is an all-new approach to investing.,1970,Ricky Jacob,Kunal Shah Snehal Fulzele
2198,Zoomcar,Mobility,undisclosed,92000000,Bangalore,Zoomcar holds the distinction of being India’s first personal mobility platform,1970,Greg Moran,SternAegis Ventures
2199,Leap India,Logistics & Supply Chain,undisclosed,10000000,Mumbai,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",1970,Anurag Malempati,CDC Group
2200,SuperBottoms,Consumer Goods,undisclosed,400000,Mumbai,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,1970,Pallavi Utagi,Alteria Capital
2201,Cora Health,Health Wellness & Fitness,Seed,600000,Bangalore,Social commerce marketplace for everyday health and wellness.,1970,Snigdha Kumar Shrijit Venkatesh,Indian Angel Network
2202,Battery Smart,Renewables & Environment,Pre Series A,7000000,Delhi,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,1970,Pulkit Khurana Siddharth Sikka,Blume Ventures Orios Ventures
2203,The Good Glamm Group,Information Technology & Services,Series D,150000000,Pune,South Asia’s largest Content-to-Commerce scale-up investing 100 million in fast-growing beauty & personal care brands.,1970,Darpan Sanghvi Priyanka Gill Naiyya saggi,Warburg Pincus﻿ Prosus Ventures
2204,Mosaic Wellness,Health Wellness & Fitness,Series A,24000000,Mumbai,A platform of digital first health clinics for men and women,1970,Dhyanesh Shah,Sequoia
2205,CloudFiles,SaaS startup,Pre-seed,300000,Bangalore,Supercharge files with enterprise-grade security page-by-page analytics and powerful content automations.,1970,Vishesh Singhal Ankit Gupta Siddharth Garg,Titan Capital
2206,The Viral Fever,Entertainment,undisclosed,2000000,Mumbai,India's leading digital entertainment network.,1970,Arunabh Kumar,BlackSoil
